username;Jak czułeś/aś się dziś rano?;Jak oceniasz jakość swojego snu ostatniej nocy?;updated_at
0;6;6;2022-12-07 08:33:10.068587+00
0;5;6;2022-12-08 08:14:45.907254+00
0;5;5;2022-12-09 07:55:36.627723+00
0;4;4;2022-12-11 13:55:50.569971+00
0;4;3;2022-12-13 09:00:29.252731+00
0;6;7;2022-12-14 11:53:37.406523+00
0;4;3;2022-12-17 18:00:57.535222+00
0;4;4;2022-12-20 09:28:29.755373+00
0;4;4;2022-12-21 08:39:19.113481+00
0;5;6;2022-12-26 14:09:32.579708+00
0;7;7;2022-12-27 11:34:13.409014+00
0;7;7;2022-12-28 11:33:46.727435+00
0;4;4;2023-01-07 21:38:42.237892+00
0;4;3;2023-01-11 11:17:10.042901+00
0;6;6;2023-01-12 14:14:38.189798+00
0;6;7;2023-01-13 10:35:16.411063+00
0;4;4;2023-01-16 09:54:47.221666+00
0;4;3;2023-01-19 10:02:36.629277+00
0;6;6;2023-01-20 09:45:00.202195+00
0;4;6;2023-01-25 16:55:35.523615+00
0;5;6;2023-01-27 10:22:01.985671+00
0;4;4;2023-01-29 21:24:12.395633+00
0;4;4;2023-01-30 08:26:03.932007+00
0;4;3;2023-01-31 12:09:41.079083+00
0;4;6;2023-02-08 11:12:05.103451+00
0;3;4;2023-02-14 19:28:48.290922+00
0;4;4;2023-02-15 12:02:15.459845+00
0;4;5;2023-02-19 19:26:51.689741+00
0;4;4;2023-02-21 09:28:34.224957+00
0;3;3;2023-03-01 13:21:45.188936+00
1;3;3;2022-12-06 19:03:11.516289+00
1;4;3;2022-12-07 19:04:49.116946+00
1;2;4;2022-12-09 17:37:37.110188+00
1;4;5;2022-12-11 13:31:23.099927+00
1;5;6;2022-12-12 19:14:44.929808+00
1;2;4;2022-12-13 20:28:21.306673+00
1;3;3;2022-12-14 16:04:29.161023+00
1;3;4;2022-12-15 18:35:34.46578+00
1;4;4;2022-12-16 09:55:13.393188+00
1;4;5;2022-12-17 15:45:12.570966+00
1;2;2;2022-12-19 17:37:19.538003+00
1;3;2;2022-12-20 18:06:23.933917+00
1;4;5;2022-12-22 08:01:42.410293+00
1;5;5;2022-12-28 08:33:15.969126+00
1;5;5;2022-12-29 10:53:38.670575+00
1;5;5;2022-12-30 19:02:14.847014+00
1;3;2;2022-12-31 18:36:20.511188+00
1;2;1;2023-01-02 14:52:09.522841+00
1;3;3;2023-01-04 08:18:56.890217+00
1;5;4;2023-01-05 10:00:13.166758+00
1;3;3;2023-01-11 14:48:54.463292+00
1;5;5;2023-01-12 18:14:00.202719+00
1;3;3;2023-01-13 06:55:52.704827+00
1;3;3;2023-01-16 20:19:31.384294+00
1;4;5;2023-01-17 07:25:02.141674+00
1;6;6;2023-01-18 06:59:50.766148+00
1;4;5;2023-01-19 07:04:09.191947+00
1;2;1;2023-01-23 09:08:08.451101+00
1;6;6;2023-01-25 06:03:28.010917+00
1;3;4;2023-01-26 06:06:59.101414+00
1;5;5;2023-01-28 09:20:28.405341+00
1;2;2;2023-01-30 11:43:00.097199+00
1;4;4;2023-01-31 08:25:09.389981+00
