username;Czy właśnie czułeś silną emocję?;Jak się czułaś: Neg-Pos;Jak się czułaś: Ospały-Bardzo pobudzony;updated_at
0;Tak;36;61;2022-12-09 10:00:12.462176+00
0;Tak;0;69;2022-12-12 09:48:50.646824+00
0;Nie;26;83;2022-12-13 09:43:25.03617+00
0;Nie;40;57;2022-12-26 18:37:10.781199+00
0;Tak;100;77;2022-12-28 20:24:26.968175+00
0;Tak;28;18;2023-01-10 10:51:02.632868+00
0;Tak;86;76;2023-01-11 12:10:46.316813+00
0;Tak;77;100;2023-01-13 14:07:27.512618+00
0;Tak;9;74;2023-01-16 13:22:39.403402+00
0;Nie;58;52;2023-01-19 13:42:42.390302+00
0;Tak;92;84;2023-01-20 10:30:04.236318+00
0;Tak;6;72;2023-01-27 11:57:05.713414+00
0;Tak;4;61;2023-01-30 10:59:08.488943+00
0;Tak;28;19;2023-01-31 14:11:16.960125+00
0;Tak;15;39;2023-02-08 11:40:39.296802+00
0;Nie;67;39;2023-02-15 16:03:41.88608+00
0;Tak;69;66;2023-02-19 19:57:16.60009+00
0;Nie;48;59;2023-02-21 09:58:39.818207+00
1;Nie;50;29;2022-12-15 20:50:03.40704+00
1;Nie;87;20;2022-12-28 10:05:35.802863+00
1;Nie;90;47;2022-12-30 20:23:29.127954+00
1;Nie;80;56;2022-12-31 20:36:31.591511+00
1;Nie;87;60;2023-02-13 09:44:29.734828+00
1;Nie;88;52;2023-02-15 14:56:37.769402+00
1;Nie;51;32;2023-02-28 17:56:32.814556+00
1;Nie;57;28;2023-03-10 09:11:42.450471+00
2;Nie;67;44;2022-12-10 22:43:45.986026+00
2;Nie;47;22;2022-12-12 20:52:21.781366+00
2;Nie;99;51;2022-12-14 13:40:08.842868+00
2;Nie;48;17;2022-12-20 16:54:10.129142+00
2;Tak;0;51;2022-12-23 23:53:20.328045+00
2;Nie;50;53;2022-12-28 16:58:36.005771+00
2;Nie;48;36;2023-01-11 12:12:56.592441+00
2;Nie;45;18;2023-01-13 21:51:05.516221+00
2;Nie;45;39;2023-02-06 13:55:20.979244+00
2;Nie;42;44;2023-02-07 12:21:32.261686+00
2;Nie;45;39;2023-02-08 18:37:03.789731+00
2;Nie;47;44;2023-02-13 13:27:11.701627+00
3;Tak;0;0;2023-01-02 10:14:20.268705+00
3;Nie;83;56;2023-01-03 12:06:36.591154+00
3;Nie;62;0;2023-01-04 07:33:04.568512+00
3;Nie;70;85;2023-01-05 13:47:06.15141+00
3;Nie;84;70;2023-01-09 10:27:40.992485+00
3;Nie;99;0;2023-01-10 11:50:12.556256+00
3;Nie;99;100;2023-01-11 09:25:47.803982+00
3;Nie;100;56;2023-01-12 11:52:40.274044+00
3;Nie;82;0;2023-01-13 12:36:04.181675+00
3;Nie;80;0;2023-01-16 09:31:13.70215+00
3;Nie;99;0;2023-01-17 11:26:27.347414+00
3;Nie;74;18;2023-01-18 11:07:05.697389+00
3;Nie;90;46;2023-01-19 12:00:18.872302+00
3;Nie;77;0;2023-01-20 12:27:12.372192+00
3;Nie;99;78;2023-03-02 18:02:29.048791+00
3;Nie;25;0;2023-03-03 16:12:56.94924+00
3;Tak;0;55;2023-03-06 10:50:00.470482+00
3;Nie;80;30;2023-03-07 10:59:06.348769+00
3;Tak;0;26;2023-03-09 10:22:40.312641+00
4;Nie;90;56;2022-12-09 14:36:39.552975+00
4;Tak;0;98;2022-12-13 17:16:52.255641+00
4;Nie;42;48;2022-12-16 18:07:16.784371+00
4;Nie;71;70;2022-12-17 13:59:29.648534+00
4;Nie;26;69;2022-12-19 18:34:26.933411+00
4;Nie;55;50;2023-01-03 21:18:53.106166+00
4;Nie;100;71;2023-01-04 14:03:36.467271+00
4;Nie;90;24;2023-01-05 12:10:19.899044+00
4;Nie;49;71;2023-01-09 12:47:43.238308+00
4;Nie;30;23;2023-01-11 10:57:38.696523+00
4;Nie;75;65;2023-01-13 09:43:34.749102+00
4;Nie;67;77;2023-01-16 09:59:21.174222+00
4;Nie;68;13;2023-01-17 10:28:18.460589+00
4;Nie;78;63;2023-01-19 11:42:44.796812+00
4;Nie;32;19;2023-01-20 15:17:10.444787+00
4;Nie;68;15;2023-01-23 18:30:39.595632+00
4;Tak;24;66;2023-01-24 10:10:32.678179+00
4;Nie;34;7;2023-01-25 10:35:32.752197+00
4;Nie;38;49;2023-01-30 12:45:42.216991+00
4;Nie;19;12;2023-01-31 10:10:57.272106+00
4;Nie;5;5;2023-02-01 07:47:10.977459+00
4;Nie;61;51;2023-02-03 09:13:25.111877+00
4;Nie;53;54;2023-02-06 10:33:08.217152+00
4;Nie;83;74;2023-02-08 10:11:22.452512+00
4;Nie;29;69;2023-02-09 09:51:39.867407+00
4;Nie;47;67;2023-02-10 11:07:25.304217+00
5;Nie;44;51;2022-12-20 22:56:54.765452+00
5;Nie;41;41;2022-12-22 21:56:01.487838+00
5;Nie;42;21;2023-01-02 15:07:40.246212+00
5;Nie;42;39;2023-01-03 15:33:25.632551+00
5;Nie;47;32;2023-01-04 14:30:28.760091+00
5;Nie;44;29;2023-01-05 22:48:29.795094+00
5;Nie;53;44;2023-01-09 22:35:21.335917+00
5;Nie;45;47;2023-01-11 16:15:08.874882+00
5;Nie;45;45;2023-01-13 15:17:30.461045+00
5;Nie;50;45;2023-01-16 23:20:44.520956+00
5;Nie;45;48;2023-01-17 23:01:51.554834+00
5;Nie;45;50;2023-01-21 00:01:37.554998+00
5;Nie;54;48;2023-01-26 15:15:17.905478+00
5;Nie;49;52;2023-01-30 14:33:30.888274+00
5;Nie;48;52;2023-01-31 14:27:19.241981+00
5;Nie;48;53;2023-02-02 16:21:51.270692+00
5;Nie;52;51;2023-02-06 14:44:25.23682+00
5;Nie;46;48;2023-02-07 14:57:43.979017+00
6;Nie;27;51;2023-01-10 17:26:25.022164+00
6;Nie;48;36;2023-01-27 12:58:52.766631+00
7;Tak;52;47;2022-12-28 15:49:09.884928+00
7;Nie;83;35;2022-12-30 16:26:33.894828+00
7;Nie;73;24;2023-01-08 14:07:54.671928+00
7;Nie;55;23;2023-01-23 22:14:11.825634+00
7;Nie;53;31;2023-02-27 18:02:52.133971+00
8;Nie;100;44;2022-12-14 19:47:31.930049+00
8;Nie;35;35;2022-12-28 12:11:09.280821+00
8;Nie;81;56;2022-12-29 14:37:32.87798+00
8;Nie;39;29;2022-12-30 10:37:54.638241+00
